,Tiker,Date,Score
0,msft,2018-07-26 05:22:16,0
1,msft,2018-07-26 05:21:19,0.175
2,msft,2018-07-26 05:20:06,-0.2
3,msft,2018-07-26 05:18:21,0.0166666667
4,msft,2018-07-26 05:15:40,0
5,msft,2018-07-26 05:15:00,-0.125
6,msft,2018-07-26 05:12:26,0.4181818182
7,msft,2018-07-26 05:11:30,0
8,msft,2018-07-26 05:08:39,0.25
9,msft,2018-07-26 05:07:00,0
10,msft,2018-07-26 05:04:04,0
11,msft,2018-07-26 05:03:38,0
12,msft,2018-07-26 05:00:56,0
13,msft,2018-07-26 05:00:53,-0.05
14,msft,2018-07-26 05:00:53,0.025
15,msft,2018-07-26 05:00:00,0
16,msft,2018-07-26 04:59:35,0.1166666667
17,msft,2018-07-26 04:58:41,0
18,msft,2018-07-26 04:57:00,0
19,msft,2018-07-26 04:54:28,0
20,msft,2018-07-26 04:53:56,0
21,msft,2018-07-26 04:53:00,1
22,msft,2018-07-26 04:52:46,-0.4
23,msft,2018-07-26 04:47:26,0.5
24,msft,2018-07-26 04:33:15,0
25,msft,2018-07-26 04:30:56,0.7
26,msft,2018-07-26 04:29:20,0.0375
27,msft,2018-07-26 04:25:01,0
28,msft,2018-07-26 04:20:59,0
29,msft,2018-07-26 04:20:55,-0.1965277778
30,msft,2018-07-26 04:19:25,0
31,msft,2018-07-26 04:18:36,0.5166666667
32,msft,2018-07-26 04:15:46,-0.225
33,msft,2018-07-26 04:15:18,0.25
34,msft,2018-07-26 04:15:14,-0.75
35,msft,2018-07-26 04:13:02,0.0175
36,msft,2018-07-26 04:12:04,0.05
37,msft,2018-07-26 04:11:30,0
38,msft,2018-07-26 04:08:25,0
39,msft,2018-07-26 04:08:16,0.5
40,msft,2018-07-26 04:07:44,0
41,msft,2018-07-26 04:07:43,0
42,msft,2018-07-26 04:04:56,0
43,msft,2018-07-26 04:04:48,0.0333333333
44,msft,2018-07-26 04:04:21,-0.3
45,msft,2018-07-26 04:02:54,-0.05
46,msft,2018-07-26 04:02:05,0
47,msft,2018-07-26 04:01:31,0.6
48,msft,2018-07-26 04:01:01,0
49,msft,2018-07-26 04:00:01,0.4
50,msft,2018-07-26 04:00:01,0
51,msft,2018-07-26 04:00:00,0.3333333333
52,msft,2018-07-26 03:59:52,-0.2
53,msft,2018-07-26 03:57:51,-0.1972222222
54,msft,2018-07-26 03:56:27,0
55,msft,2018-07-26 03:55:48,-0.085
56,msft,2018-07-26 03:54:05,0
57,msft,2018-07-26 03:52:24,-0.03125
58,msft,2018-07-26 03:51:31,-0.03125
59,msft,2018-07-26 03:51:28,-0.015625
60,msft,2018-07-26 03:51:00,0
61,msft,2018-07-26 03:50:13,-0.03125
62,msft,2018-07-26 03:49:08,-0.03125
63,msft,2018-07-26 03:48:56,0
64,msft,2018-07-26 03:48:04,-0.03125
65,msft,2018-07-26 03:47:12,-0.03125
66,msft,2018-07-26 03:46:30,0.3166666667
67,msft,2018-07-26 03:46:30,0
68,msft,2018-07-26 03:46:21,-0.0416666667
69,msft,2018-07-26 03:45:21,-0.0416666667
70,msft,2018-07-26 03:44:34,0.05
71,msft,2018-07-26 03:42:53,0.375
72,msft,2018-07-26 03:40:55,0
73,msft,2018-07-26 03:38:50,0
74,msft,2018-07-26 03:38:36,0
75,msft,2018-07-26 03:37:20,-0.025
76,msft,2018-07-26 03:34:27,0
77,msft,2018-07-26 03:34:07,0
78,msft,2018-07-26 03:32:31,0
79,msft,2018-07-26 03:32:00,0.7
80,msft,2018-07-26 03:30:00,0.05
81,msft,2018-07-26 03:28:49,0
